total_claims,total_reimbursed,avg_reimbursed,avg_duration_gap,pct_claimed_gt_admitted,avg_cost_per_day,age_avg,pct_chronic,PotentialFraud
2968.0,1386100,467.0148247978437,2452.0,1,2686.2403100775196,43.46479110512129,0.11388140161725067,Yes
988.0,508210,514.3825910931174,837.0,1,3365.6291390728475,52.76315789473684,0.13562753036437247,No
2287.0,502010,219.5059029296021,2287.0,1,,58.91154350677744,0.15041539134236992,Yes
193.0,74320,385.0777202072539,158.0,1,2123.4285714285716,29.807772020725388,0.06217616580310881,No
335.0,60910,181.82089552238807,335.0,1,,54.43104477611941,0.14626865671641792,No
595.0,123850,208.15126050420167,595.0,1,,57.86302521008403,0.1495798319327731,No
1606.0,1693410,1054.4271481942715,698.0,1,1864.988986784141,28.253611457036115,0.07285180572851806,Yes
892.0,187750,210.48206278026905,892.0,1,,51.337443946188344,0.13901345291479822,No
72.0,14880,206.66666666666666,72.0,1,,53.044444444444444,0.1388888888888889,No
99.0,37250,376.26262626262627,84.0,1,2483.3333333333335,30.084848484848486,0.0707070707070707,No
1024.0,1757060,1715.87890625,106.0,1,1914.0087145969499,16.773828125,0.0595703125,Yes
156.0,157440,1009.2307692307693,40.0,1,1357.2413793103449,24.753846153846155,0.08974358974358974,Yes
162.0,22600,139.50617283950618,162.0,1,,47.727160493827164,0.16666666666666666,No
177.0,14760,83.38983050847457,177.0,1,,27.683615819209038,0.07344632768361582,No
5671.0,2284560,402.84958561100336,4879.0,1,2884.5454545454545,43.68830894022218,0.11179686122377006,Yes
62.0,75400,1216.1290322580646,1.0,1,1236.0655737704917,22.683870967741935,0.11290322580645161,Yes
5856.0,1303600,222.60928961748633,5856.0,1,,59.88229166666667,0.14241803278688525,Yes
65.0,23030,354.3076923076923,65.0,1,,98.82461538461538,0.2153846153846154,No
7.0,3520,502.85714285714283,7.0,1,,157.62857142857143,0.7142857142857143,No
40.0,34950,873.75,22.0,1,1941.6666666666667,37.7675,0.15,No
1106.0,1045640,945.4249547920434,497.0,1,1716.9786535303776,29.99511754068716,0.0949367088607595,Yes
11542.0,2321890,201.1687749090279,11542.0,1,,53.49628313983712,0.12536822041240686,Yes
53.0,29380,554.3396226415094,53.0,1,,164.288679245283,0.4339622641509434,No
857.0,926330,1080.8984830805134,483.0,1,2476.818181818182,39.527537922987165,0.11668611435239207,Yes
1352.0,291020,215.25147928994082,1352.0,1,,54.26523668639054,0.14940828402366865,No
183.0,172000,939.8907103825137,0.0,0,939.8907103825137,7.636065573770492,0.03825136612021858,Yes
382.0,128200,335.6020942408377,318.0,1,2003.125,54.68612565445026,0.08115183246073299,No
99.0,20230,204.34343434343435,99.0,1,,84.83838383838383,0.1717171717171717,No
58.0,24090,415.3448275862069,58.0,1,,73.63620689655171,0.1206896551724138,No
1527.0,1116210,730.9823182711199,1055.0,1,2364.851694915254,38.418402095612315,0.1008513425016372,No
250.0,86880,347.52,228.0,1,3949.090909090909,38.0604,0.124,No
315.0,72180,229.14285714285714,315.0,1,,50.04031746031746,0.2,No
131.0,39920,304.7328244274809,131.0,1,,73.88396946564885,0.16793893129770993,No
